"1","Ferrule Insulated Black 1.50mm","BL015",0,0,0,0,0,0,\N,0,0,0,"2023-06-09 01:18:33","Kanban Stock",2
"2","Ferrule Twin Black 2 x 1.5mm","BLT015",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"3","Ferrule Insulated Grey 2.50mm","BL025",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"4","Ferrule Insulated Grey 2.50mm Long","BL025L",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"5","Ferrule Twin Grey 2 x 2.5mm","BLT025",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"6","Ferrule Insulated Orange 4mm","BL040",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"7","Ferrule 4mm x 18mm Orange","BL040XL",0,0,0,0,0,0,\N,0,0,0,"2023-06-13 23:11:58","Kanban Stock",2
"8","Ferrule Twin Orange 2 x 4mm","BLT040",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"9","Ferrule Insulated Green 6mm","BL060",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"10","Ferrule Insulated Green 6mm Long","BL060XL",0,0,0,0,0,0,\N,0,0,0,"2023-06-16 03:41:10","Kanban Stock",2
"11","Ferrule Twin Yellow 2 x 6mm","BLT060",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"12","Ferrule Insulated Brown 10mm","BL100",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"13","Ferrule Brown 10mm2 x 18mm","BL100L",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"14","16mm Ferrule Insulated White","BL160",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"15","Ferrule Insulated White 16mm Long","BL160L",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"16","25mm Ferrule Insulated Black","BL250",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"17","Ferrule Insulated Black 25mm Long","BL250L",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"18","Ferrule Insulated Red 35mm","BL350",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"19","Ferrule Insulated Red 35mm Long","BL350L",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
"20","Ferrule Insulated Blue 50mm","BL500",0,0,0,0,0,0,\N,0,0,0,"2023-06-05 01:48:19","Kanban Stock",2
