"143","5mm Brass Flat Washer","WFM5BR","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"144","5MM BRASS NUT","NM5BR","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"145","M6 X 12 HEX SET SCREW CL 8.8 ZINC SILVER","41522","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"149","6MM EXTERNAL TOOTH WASHER ZP ","WETM6Z","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"150","6MM INTERNAL TOOTH WASHER ZP ","WITM6Z","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"153","6MM FL BR WASHER","WFM6BR","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"166","Lockwasher 10mm internal","WITM10Z","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"170","M10 X 25 GRUB SCREW","GSM1025P","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"172","12mm SADDLE MOUNTING SCREW","TSP8127","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"175","6MM SP WASHER SS","WSM6S","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"176","8MM SP WASHER SS","WSM8S","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"177","10MM SP WASHER SS","WSM10S","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"178","6MM FL WASHER SS","WFM6S","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
"179","8MM FL WASHER SS","363400108","Kanban Stock",0,0,0,0,"To be Ordered","NA","2023-06-19 21:59:51","NA"
