"CBL30","16mm2 Cu/PVC BLUE","LS-XXXN/1C16BL",100,10,4,6,600,"2023-06-21 23:29:49"
"CBL36","16mm2 Cu/PVC Earth Cable","LS-XXXN/1C16EA",100,6,2,4,400,"2023-06-21 23:29:49"
"CBL28","16mm2 Cu/PVC RED","LS-XXXN/1C16RE",100,10,4,6,600,"2023-06-21 23:29:49"
"CBL29","16mm2 Cu/PVC WHITE","LS-XXXN/1C16WH",100,10,4,6,600,"2023-06-21 23:29:49"
"CBL32","25mm2 Cu/PVC Cable - BLACK","LS-XXXN/1C25B",100,4,1,3,300,"2023-06-21 23:29:49"
"CBL35","25mm2 Cu/PVC Cable - BLUE","LS-XXXN/1C25BL",200,5,2,3,600,"2023-06-21 23:29:49"
"CBL38","25mm2 Cu/PVC Earth Cable","LS-XXXN/1C25EA",100,6,2,4,400,"2023-06-21 23:29:49"
"CBL33","25mm2 Cu/PVC Cable -RED","LS-XXXN/1C25R",100,5,2,3,300,"2023-06-21 23:29:49"
"CBL34","25mm2 Cu/PVC Cable - WHITE","LS-XXXN/1C25WH",100,5,2,3,300,"2023-06-21 23:29:49"
"CBL41","35mm2 Cu/PVC Cable - BLUE","LS-XXXN/1C35BL",100,2,1,1,100,"2023-06-21 23:29:49"
"CBL37","35mm2 Cu/PVC Earth Cable","LS-XXXN/1C35EA",100,5,2,3,300,"2023-06-21 23:29:49"
"CBL39","35mm2 Cu/PVC Cable - RED","LS-XXXN/1C35RE",100,2,1,1,100,"2023-06-21 23:29:49"
"CBL40","35mm2 Cu/PVC Cable - WHITE","LS-XXXN/1C35WH",100,2,1,1,100,"2023-06-21 23:29:49"
"CBL55","70mm2 Cu/PVC Cable - Black","LS-XXXN/1C70BK",50,6,3,3,150,"2023-06-21 23:29:49"
"CBL58","70MM2 SINGLE INSULATED EARTH","LS-XXXN/1C70EA",25,1,0,1,25,"2023-06-21 23:29:49"
"CBL56","95mm2 Cu/PVC Cable - Black","LS-XXXN/1C95BK",50,8,4,4,200,"2023-06-21 23:29:49"
"CBL17","SDI 4mm2 BUILDING WIRE","SDI-4mm-white",100,6,2,4,400,"2023-06-21 23:29:49"
