"48.2","M8 X 25 MM SOCKET HEAD CAP SCREW CL 12.9 ZP","SHCSM825Z",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"49","SELF TAPPER 10GX3/4(20MM) PAN XR PHILLIPS ZINC","ST1034PXZ",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"50","SCREW THRD/CUTT TYPE 23 PAN-PH STAIN 4 X 1/4","3665202316",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"51","Drilling scrw- hexagon hd- flanged- inch SCR-SDM-HWF-WS5/ /16-(CL2)-12G_14X20","3665202420",1500,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"52","6mm x 8 Copper Lug","CTL6-8",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"53","10mm X 6 Copper Lug ","CTL10-6",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"54","10 X 8 Copper Lug","CTL10-8",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"55","10mm Copper Lug 10mm Stud Bell","CTL10-10",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"56","10mm Copper Lug 12mm Stud Bell","CTL10-12",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"57","16mm Copper Lug 6mm Stud Bell","CTL16-6",250,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"58","16mm Copper Lug 8mm Stud Bell","CTL16-8",250,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"59","16mm Copper Lug 10mm Stud Bell","CTL16-10",650,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"60","25mm Copper Lug 6mm Stud Bell","CTL25-6",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"61","25mm Copper Lug 8mm Stud Bell","CTL25-8",200,"2023-06-13 23:13:16","Kanban Stock",0,0,2
"62","25mm Copper Lug 10mm Stud Bell","CTL25-10",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"63","35mm Copper Lug 6mm Stud Bell","CTL35-6",360,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"64","35mm Copper Lug 8mm Stud Bell","CTL35-8",600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"65","35 X 10mm LUG","CTL35-10",120,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"66","50mm Copper Lug 6mm Stud Bell","CTL50-6",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"67","50 X 8mm LUG","CTL50-8",340,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"68","50 X 8mm LUG (same as 67)","CTL50-8xxx",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"69","50mm Copper Lug 10mm Stud Bell","CTL50-10",200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"70","70mm Copper Lug 6mm Stud Bell","CTL70-6",160,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"71","Narrow Palm Lug 70-6mm","CTLNP70-6",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"72","70mm Copper Lug 8mm Stud Bell","CTL70-8",320,"2023-06-13 23:13:38","Kanban Stock",0,0,2
"73","70mm Copper Lug 8mm Stud Bell (same as 72)","CTL70-8xxx",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
