"CBL6","GREY 7G 2.5mm2 MULTICORE","bhbhbhb","Cables",5,0,5,"To be Ordered","NA","2023-06-26 23:03:29","NA"
"CBL24","10mm2 Cu/PVC Cable - White","LS-XXXN/1C10WH","Cables",0,0,0,"To be Ordered","NA","2023-06-26 23:56:51","NA"
