"HM71","650 Meter Pan Frame Side","6vMpFmS","Variance",5,1,4,25.81,1,25.81,1,25.81,"2023-06-29 02:33:43","HYMOD",2
"HM79","600 X 50 PART HORI CENT","6X0VPAHC","Variance",2,0,2,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM1","600x400 Gland Plate - 3mm Ali","6X4GP-A3","Variance",6,4,2,21,1,21,1,21,"2023-06-29 02:33:43","HYMOD",2
"HM81","700 Vent Cover Top IP56","7-VcT56","Variance",24,10,14,67.86,1,67.86,1,67.86,"2023-06-29 02:33:43","HYMOD",2
"HM61","700 Esc Frame Bottom","7EfB","Variance",75,45,30,15.73,1,15.73,1,15.73,"2023-06-29 02:33:43","HYMOD",2
"HM74","700 Meter Panel Frame Bottom","7MpFmB","Variance",30,15,15,30.61,1,30.61,1,30.61,"2023-06-29 02:33:43","HYMOD",2
"HM78","700 Meter Pan Frame Back","7MpFmBk","Variance",20,10,10,11.04,1,11.04,1,11.04,"2023-06-29 02:33:43","HYMOD",2
"HM73","700 Meter Panel Frame Hinge","7MpFmH","Variance",30,15,15,29.12,1,29.12,1,29.12,"2023-06-29 02:33:43","HYMOD",2
"HM72","700 Meter Pan Frame Side","7MpFmS","Variance",30,15,15,27.21,1,27.21,1,27.21,"2023-06-29 02:33:43","HYMOD",2
"HM69","700 Part Hori Back","7PaHB","Variance",40,25,15,16.87,1,16.87,1,16.87,"2023-06-29 02:33:43","HYMOD",2
"HM68","700 Part Hori Front","7PaHF","Variance",30,10,20,14.03,1,14.03,1,14.03,"2023-06-29 02:33:43","HYMOD",2
"HM29","700 RaCab - Rail Cable Support","7RaCab","Variance",60,25,35,16.54,1,16.54,1,16.54,"2023-06-29 02:33:43","HYMOD",2
"HM23","700 RaCh-CBI - Rail Channel","7RaCh-C","Variance",200,75,125,13.73,1,13.73,1,13.73,"2023-06-29 02:33:43","HYMOD",2
"HM21","700 RaGTCT - Rail Gear Tray CT","7RaGTCT","Variance",75,15,60,23.52,1,23.52,1,23.52,"2023-06-29 02:33:43","HYMOD",2
"HM18","700 RaM -Rail Mount - Single","7RaM-S","Variance",40,20,20,8.21,1,8.21,1,8.21,"2023-06-29 02:33:43","HYMOD",2
"HM55","750x400 Part Vertical - Top","7v4PaV-T","Variance",40,15,25,34.84,1,34.84,1,34.84,"2023-06-29 02:33:43","HYMOD",2
"HM64","700x50 Part Hori Cent","7x0vPaHC","Variance",40,15,25,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM66","700x75 Part Hori Cent","7x0wPaHC","Variance",40,15,25,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM52","700x75 Part Hori Cent 6mm BAKELITE","7X0WPAHC-B/LITE","INSULCUT",30,10,20,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM47","7x1 (570x1100) Polycarb Mesh 12x12","7X11PME12","Variance",8,4,4,151.69,1,151.69,1,151.69,"2023-06-29 02:33:43","HYMOD",2
"HM77","700x100 Meter Pan Frame Back","7x1MpFmBk","Variance",30,15,15,15.88,1,15.88,1,15.88,"2023-06-29 02:33:43","HYMOD",2
"HM65","700x100 Part Hori Cent","7x1PaHC","Variance",25,10,15,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM3","700x400 Gland Plate - 2mm Ali","7X4GP-A2","Variance",40,20,20,21.78,1,21.78,1,21.78,"2023-06-29 02:33:43","HYMOD",2
"HM2","700x400 Gland Plate - 3mm Ali","7x4GP-A3","Variance",50,25,25,21.78,1,21.78,1,21.78,"2023-06-29 02:33:43","HYMOD",2
"HM128","700x400 Rain Hood 77","7x4RH77","Variance",2,1,1,1,1,1,1,1,"2023-06-29 02:33:43","HYMOD",2
