"114","M8 X 35 HEX SET SCREW CL 8.8 Z","81835",200,600,200,400,0.1247,1,0.1247,118,1400,1518,189.295,"2023-06-28 04:33:06","Kanban Stock",2
"91","4mm Flat Washer (small)","8344",1000,1000,0,1000,6,1000,0.006,8233,0,8233,49.398,"2023-06-28 04:33:06","Kanban Stock",2
"95","5mm FLAT WASHER 5 x 10 x 1mm","8345",1000,1000,0,1000,0.0074,1,0.0074,4440,0,4440,32.856,"2023-06-28 04:33:06","Kanban Stock",2
"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347",1500,4500,1500,3000,0.015,1,0.015,1886,4800,6686,100.29,"2023-06-28 04:33:06","Kanban Stock",2
"165","10mm Flat washer","8348",400,1200,400,800,2.32,100,0.0232,486,800,1286,29.8352,"2023-06-28 04:33:06","Kanban Stock",2
"126","WASHER FLAT STEEL BRIGHT (STD) ZINC MM 12X24X1.6","8349",400,1200,400,800,3,100,0.03,688,500,1188,35.64,"2023-06-28 04:33:06","Kanban Stock",2
"103","6mm Spring coil Zinc Washer 1/4x1/16/1/16","8691",1000,2000,1000,1000,19.56,1000,0.01956,2018,2200,4218,82.5041,"2023-06-28 04:33:06","Kanban Stock",2
"01","Ferrule Insulated Black 1.50mm","BL015",1500,4500,1500,3000,8.11,500,0.01622,2027,7000,9027,146.418,"2023-06-28 04:33:06","Kanban Stock",2
"03","Ferrule Insulated Grey 2.50mm","BL025",500,1500,500,1000,7.95,500,0.0159,3113,3500,6613,105.147,"2023-06-28 04:33:06","Kanban Stock",2
"04","Ferrule Insulated Grey 2.50mm Long","BL025L",500,1500,500,1000,10.52,500,0.02104,2120,1500,3620,76.1648,"2023-06-28 04:33:06","Kanban Stock",2
"06","Ferrule Insulated Orange 4mm","BL040",500,1500,500,1000,2.82,100,0.0282,1671,3400,5071,143.002,"2023-06-28 04:33:06","Kanban Stock",2
"07","Ferrule 4mm x 18mm Orange","BL040XL",1000,3000,1000,2000,5.3,100,0.053,1445,4500,5945,315.085,"2023-06-28 04:33:06","Kanban Stock",2
"09","Ferrule Insulated Green 6mm","BL060",300,900,300,600,6.02,100,0.0602,1177,1000,2177,131.055,"2023-06-28 04:33:06","Kanban Stock",2
"10","Ferrule Insulated Green 6mm Long","BL060XL",300,900,300,600,4.98,100,0.0498,996,2100,3096,154.181,"2023-06-28 04:33:06","Kanban Stock",2
"12","Ferrule Insulated Brown 10mm","BL100",200,600,200,400,5.02,100,0.0502,587,2400,2987,149.947,"2023-06-28 04:33:06","Kanban Stock",2
"13","Ferrule Brown 10mm2 x 18mm","BL100L",200,600,200,400,6.99,100,0.0699,479,1800,2279,159.302,"2023-06-28 04:33:06","Kanban Stock",2
"14","16mm Ferrule Insulated White","BL160",200,600,200,400,6.99,100,0.0699,446,1900,2346,163.985,"2023-06-28 04:33:06","Kanban Stock",2
"15","Ferrule Insulated White 16mm Long","BL160L",200,600,200,400,7.33,100,0.0733,215,700,915,67.0695,"2023-06-28 04:33:06","Kanban Stock",2
"16","25mm Ferrule Insulated Black","BL250",150,450,150,300,5.65,50,0.113,83,1080,1163,131.419,"2023-06-28 04:33:06","Kanban Stock",2
"17","Ferrule Insulated Black 25mm Long","BL250L",100,300,100,200,7.65,50,0.153,195,750,945,144.585,"2023-06-28 04:33:06","Kanban Stock",2
"18","Ferrule Insulated Red 35mm","BL350",60,180,60,120,2.99,20,0.1495,128,660,788,117.806,"2023-06-28 04:33:06","Kanban Stock",2
"19","Ferrule Insulated Red 35mm Long","BL350L",60,180,60,120,3,20,0.15,143,320,463,69.45,"2023-06-28 04:33:06","Kanban Stock",2
"20","Ferrule Insulated Blue 50mm","BL500",50,150,50,100,3.51,10,0.351,42,140,182,63.882,"2023-06-28 04:33:06","Kanban Stock",2
"21","Ferrule Insulated Yellow 70mm","BL700",40,120,40,80,7.15,10,0.715,27,280,307,219.505,"2023-06-28 04:33:06","Kanban Stock",2
"22","Ferrule Insulated Red 95mm","BL950",20,20,0,20,8.9,10,0.89,40,0,40,35.6,"2023-06-28 04:33:06","Kanban Stock",2
"02","Ferrule Twin Black 2 x 1.5mm","BLT015",500,1500,500,1000,3.7,100,0.037,1160,3000,4160,153.92,"2023-06-28 04:33:06","Kanban Stock",2
"05","Ferrule Twin Grey 2 x 2.5mm","BLT025",500,1500,500,1000,5.7,100,0.057,864,1500,2364,134.748,"2023-06-28 04:33:06","Kanban Stock",2
"08","Ferrule Twin Orange 2 x 4mm","BLT040",200,600,200,400,7.33,100,0.0733,682,1100,1782,130.621,"2023-06-28 04:33:06","Kanban Stock",2
"11","Ferrule Twin Yellow 2 x 6mm","BLT060",100,300,100,200,8.66,100,0.0866,496,500,996,86.2536,"2023-06-28 04:33:06","Kanban Stock",2
"183","M6x16 BOLT","CCCCCC",200,200,0,200,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"68","50 X 8mm LUG","COPY-BIN67",0,0,0,0,1.04,1,1.04,50,0,50,52,"2023-06-28 04:33:06","Kanban Stock",2
"73","70mm Copper Lug 8mm Stud Bell","COPY-BIN72",0,0,0,0,1.33,1,1.33,94,0,94,125.02,"2023-06-28 04:33:06","Kanban Stock",2
"102","M6 x 25 CLINCH STUD ZINC SILVER","CSTUDM625Z",100,100,0,100,0.25,1,0.25,170,0,170,42.5,"2023-06-28 04:33:06","Kanban Stock",2
